Dataset,Category,Variable,Description,Total_Rows,Valid_Count,Missing_Count,Missing_Percent,Raw_Mean,Raw_Std,Min,P25,Median,P75,Max,IQR,Floor_P1,Cap_P99,Capped_Mean,Capped_Std,Display_Summary
MDP_Cohort,Fluids & Vasopressors,urineoutput,Urine Output Volume (mL/4h),1120403,1120403,0,0.0,39.18,154.91,-6000.0,0.0,0.0,0.0,4700.0,0.0,0.0,775.0,36.29,130.69,36.29 ± 130.69 (Med: 0.0 [0.0-0.0])
MDP_Cohort,Fluids & Vasopressors,iv_total,Intravenous Fluid Intake (mL/4h),1120403,1120403,0,0.0,403.04,691.98,0.0,0.0,100.0,520.0,100600.0,520.0,0.0,2966.67,392.21,600.39,392.21 ± 600.39 (Med: 100.0 [0.0-520.0])
MDP_Cohort,Fluids & Vasopressors,cum_fluid_balance,Cumulative Fluid Balance (mL),1120403,1120403,0,0.0,-18784.22,38552.54,-4376987.0,-22597.5,-8748.0,-2891.5,20.0,19706.0,-130903.0,-60.0,-17837.97,23893.99,-17837.97 ± 23893.99 (Med: -8748.0 [-22597.5--2891.5])
MDP_Cohort,Fluids & Vasopressors,vaso_total,Total Vasopressor Equivalent Rate,1120403,1120403,0,0.0,1.81,21.64,0.0,0.05,0.18,0.5,19992.0,0.45,0.01,20.18,1.61,4.18,1.61 ± 4.18 (Med: 0.18 [0.05-0.5])
MDP_Cohort,RL State & Actions,cluster_label,K-Means State Cluster Label (0-499),1120403,1120403,0,0.0,249.12,145.26,0.0,124.0,251.0,373.0,499.0,249.0,5.0,496.0,249.13,145.17,249.13 ± 145.17 (Med: 251.0 [124.0-373.0])
MDP_Cohort,RL State & Actions,PEEP_binned,PEEP Action Quintile Bin (0-4),1120403,1120403,0,0.0,0.54,0.79,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.54,0.79,0.54 ± 0.79 (Med: 0.0 [0.0-1.0])
MDP_Cohort,RL State & Actions,FiO2_binned,FiO2 Action Quintile Bin (0-4),1120403,1120403,0,0.0,0.63,0.77,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.63,0.77,0.63 ± 0.77 (Med: 0.0 [0.0-1.0])
MDP_Cohort,RL State & Actions,tidal_volume_binned,Tidal Volume Action Quintile Bin (0-4),1120403,1120403,0,0.0,1.99,1.42,0.0,1.0,2.0,3.0,4.0,2.0,0.0,4.0,1.99,1.42,1.99 ± 1.42 (Med: 2.0 [1.0-3.0])
MDP_Cohort,RL State & Actions,RespRate_binned,Resp Rate Action Quintile Bin (0-4),1120403,1120403,0,0.0,1.99,1.42,0.0,1.0,2.0,3.0,4.0,2.0,0.0,4.0,1.99,1.42,1.99 ± 1.42 (Med: 2.0 [1.0-3.0])
MDP_Cohort,RL State & Actions,subject_has_deathtime,Mortality Outcome Indicator (-1/+1 Reward),1120403,1120403,0,0.0,0.29,0.45,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.29,0.45,0.29 ± 0.45 (Med: 0.0 [0.0-1.0])
